Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Clortetraciclina,2514,Chlortetracycline,57-62-5,2941.30.90,NVE
Clorzoxazona,2516,Chlorzoxazone,95-25-0,2934.99.99,NVE
Clostebol  ,2521,Clostebol,1093-58-9,2937.29.90,NVE
Clotiapina  ,2524,Clotiapine,2058-52-8,2934.99.99,NVE
Clotrimazol,2529,Clotrimazole,23593-75-1,2933.29.25,NVE
Cloxacilina,2532,Cloxacillin,61-72-3,2941.10.90,NVE
Cloxacilina Benzatina,2533,Cloxacillin Benzathine,23736-58-5,2941.10.90,NVE
Cloxacilina Sódica Anidra,n.d.,Cloxacillin Sodium Anhydrous,642-78-4,2941.10.90,NVE
Cloxazolam  ,2535,Cloxazolam,24166-13-0,2934.91.22,NVE
Cloxiquina,2538,Cloxiquine,130-16-5,2933.49.90,NVE
Clozapina  ,2540,Clozapine,5786-21-0,2933.99.39,NVE
Cobamamida,2541,Cobamamide,13870-90-1,2936.26.20,NVE
Cocarboxilase,2542,Cocarboxylase,154-87-0,2936.22.90,NVE
Codeína Anidra  ,2545,Codeine Anhydrous,76-57-3,2939.11.22,NVE
Colchicina,2567,Colchicine,64-86-8,2939.80.00,NVE
Colecalciferol,2569,Colecalciferol,67-97-0,2936.29.21,NVE
Colina,2578,Choline,123-41-1,2923.10.00,NVE
Corbadrina,2603,Corbadrine,829-74-3,2922.50.99,NVE
Cortisona,2610,Cortisone,53-06-5,2937.21.10,NVE
Cromoglicato Dissódico,156,Cromoglicate Disodium,15826-37-6,2932.99.99,NVE
Dacarbazina,2655,Dacarbazine,4342-03-4,2933.29.99,NVE
Dactinomicina,2660,Dactinomycin,50-76-0,2941.90.99,NVE
Dalfopristina,2665,Dalfopristin,112362-50-2,2934.99.99,NVE
Danazol,2672,Danazol,17230-88-5,2937.19.90,NVE
Dantroleno,2679,Dantrolene,7261-97-4,2934.99.99,NVE
Dantroleno Sódico,9632,Dantrolene Sodium,24868-20-0,2934.99.99,NVE
Dantrona,2681,Dantron,117-10-2,2914.69.90,NVE
Dapsona,2686,Dapsone,80-08-0,2930.90.79,NVE
Darunavir  ,9573,Darunavir,206361-99-1,2935.90.19,NVE
Daunorrubicina,2694,Daunorubicin,20830-81-3,2941.90.49,NVE
Deanol,2709,Deanol,108-01-0,2922.19.99,NVE
Decanoato de Flufenazina  ,4123,Fluphenazine Decanoate,5002-47-1,2934.30.90,NVE
Decanoato de Flupentixol  ,4182,Flupentixol Decanoate,30909-51-4,2934.99.99,NVE
Decanoato de Haloperidol  ,4591,Haloperidol Decanoate,74050-97-8,2933.39.19,NVE
Decanoato de Nandrolona  ,6219,Nandrolone Decanoate,360-70-3,2937.29.90,NVE
Decanoato de Testosterona  ,8453,Testosterone Decanoate,5721-91-5,2937.29.90,NVE
Decanoato de Zuclopentixol  ,9315,Zuclopentixol Decanoate,64053-00-5,2934.99.49,NVE
Deferiprona,2723,Deferiprone,30652-11-0,2933.39.99,NVE
Deferroxamina,2724,Deferoxamine,70-51-9,2928.00.90,NVE
Deflazacorte,2728,Deflazacort,14484-47-0,2937.29.60,NVE
Delapril,2732,Delapril,83435-66-9,2924.29.49,NVE
Delavirdina,2734,Delavirdine,136817-59-9,2934.99.99,NVE
Desflurano  ,2781,Desflurane,57041-67-5,2903.39.19,NVE
Desidrocolato de Colina,2583,Choline Dehydrocholate,4201-78-9,2923.10.00,NVE
Desidrocolato de Sódio,159,Sodium Dehydrocholate,145-41-5,2918.30.32,NVE
Desipramina  ,2784,Desipramine,50-47-5,2933.99.39,NVE
Deslanosídeo,2787,Deslanoside,17598-65-1,2938.90.10,NVE
Desloratadina,2788,Desloratadine,100643-71-8,2933.39.29,NVE
Desmopressina,2791,Desmopressin,16679-58-6,2937.90.90,NVE
Desonida,2797,Desonide,638-94-8,2937.29.90,NVE
Desoximetasona,2803,Desoximetasone,382-67-2,2937.22.90,NVE
Desvenlafaxina  ,11071,Desvenlafaxine,93413-62-8,2915.90.90,NVE
Devazepida,2816,Devazepide,103420-77-5,2933.99.99,NVE
Dexametasona,2817,Dexamethasone,50-02-2,2937.22.10,NVE
Dexbronfeniramina,2832,Dexbrompheniramine,132-21-8,2933.39.99,NVE
Dexclorfeniramina,2837,Dexchlorpheniramine,25523-97-1,2933.39.99,NVE
Dexetimida  ,2840,Dexetimide,21888-98-2,2933.39.99,NVE
