Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Lansoprazol,5165,Lansoprazole,103577-45-3,2933.39.89,NVE
Lapachol,5167,Lapachol,84-79-7,2914.69.10,NVE
Lasalocida Sódica,n.d.,Lasalocid Sodium,25999-20-6,2941.90.99,NVE
Latanoprosta,5175,Latanoprost,130209-82-4,2918.19.90,NVE
Lauroguadina,5181,Lauroguadine,135-43-3,2925.29.29,NVE
Leflunomida  ,5192,Leflunomide,75706-12-6,2934.99.99,NVE
Lepirudina,5202,Lepirudin,138068-37-8,2934.99.99,NVE
Lercanidipino,5204,Lercanidipine,100427-26-7,2933.39.49,NVE
Letrozol,5213,Letrozole,112809-51-5,2933.99.69,NVE
Leucina,5215,Leucine,61-90-5,2922.49.90,NVE
Leuprorrelina,5219,Leuprorelin,53714-56-0,2937.90.90,NVE
Levamisol,5224,Levamisole,14769-73-4,2934.99.53,NVE
Levisoprenalina,5233,Levisoprenaline,51-31-0,2922.50.99,NVE
Levoaspartato de Magnésio,11552,Magnesium Levoaspartate,2068-80-6,2922.49.90,NVE
Levoaspartato de Potássio,11554,Potassium Levoaspartate,1115-63-5,2922.49.90,NVE
Levobetaxolol,5235,Levobetaxolol,93221-48-8,2922.19.99,NVE
Levobunolol,5237,Levobunolol,47141-42-4,2922.19.99,NVE
Levobupivacaína,5239,Levobupivacaine,27262-47-1,2933.39.89,NVE
Levocabastina,5240,Levocabastine,79516-68-0,2933.39.99,NVE
Levocarnitina,5242,Levocarnitine,541-15-1,2923.90.90,NVE
Levodopa,5249,Levodopa,59-92-7,2922.50.31,NVE
Levodropropizina,5250,Levodropropizine,99291-25-5,2933.59.19,NVE
Levofacetoperano  ,5251,Levofacetoperane,24558-01-8,2933.39.99,NVE
Levofloxacino Anidro,5257,Levofloxacin Anhydrous,100986-85-4,2934.99.19,NVE
Levofolinato de Cálcio,5258,Calcium Levofolinate,80433-71-2,2933.59.99,NVE
Levolisinato de Ibuprofeno,4775,Ibuprofen Lysine Salt,57469-77-9,2916.39.90,NVE
Levomepromazina  ,5263,Levomepromazine,60-99-1,2934.30.90,NVE
Levonorgestrel,5279,Levonorgestrel,797-63-7,2937.23.21,NVE
Levotiroxina,5294,Levothyroxine,51-48-9,2937.90.90,NVE
Levotiroxina Sódica Anidra,5295,Levothyroxine Sodium Anhydrous,55-03-8,2937.90.30,NVE
Lexidronam (153 Sm),9746,Samarium Sm 153 Lexidronam,154427-83-5,2844.40.90,NVE
Lidocaína,5313,Lidocaine,137-58-6,2924.29.14,NVE
Limeciclina,5322,Lymecycline,992-21-2,2941.30.90,NVE
Lincomicina,5324,Lincomycin,154-21-2,2941.90.29,NVE
Linestrenol,5327,Lynestrenol,52-76-6,2937.23.70,NVE
Linezolida,5328,Linezolid,165800-03-3,2934.99.99,NVE
Liotironina,5334,Liothyronine,6893-02-3,2937.90.90,NVE
Liotironina Sódica,5338,Liothyronine Sodium,55-06-1,2937.90.40,NVE
Lipressina,5340,Lypressin,50-57-7,2937.90.90,NVE
Lisinato de Cetoprofeno,1961,Ketoprofen Lysine Salt,57469-78-0,2918.30.90,NVE
Lisinopril,9491,Lisinopril,83915-83-7,2933.99.49,NVE
Lisinopril Anidro,5352,Lisinopril Anhydrous,76547-98-3,2933.99.49,NVE
Lisurida  ,5357,Lisuride,18016-80-3,2921.30.90,NVE
Lodoxamida,5380,Lodoxamide,53882-12-5,2926.90.99,NVE
Lomefloxacino,5392,Lomefloxacin,98079-51-7,2933.59.19,NVE
Lomifilina,5398,Lomifylline,10226-54-7,2939.59.90,NVE
Lomustina,5399,Lomustine,13010-47-4,2924.21.90,NVE
Lonazolaco,5402,Lonazolac,53808-88-1,2933.19.90,NVE
Loperamida  ,5404,Loperamide,53179-11-6,2933.39.29,NVE
Lopinavir  ,5407,Lopinavir,192725-17-0,2933.59.49,NVE
Loracarbefe Anidro,5413,Loracarbef Anhydrous,76470-66-1,2941.90.39,NVE
Loratadina,5416,Loratadine,79794-75-5,2933.39.29,NVE
Lorazepam  ,5417,Lorazepam,846-49-1,2933.91.42,NVE
Lornoxicam,5427,Lornoxicam,70374-39-9,2934.99.99,NVE
Losartana,5431,Losartan,114798-26-4,2933.29.99,NVE
Losartana Potássica,5432,Losartan Potassium,124750-99-8,2933.29.99,NVE
Loteprednol,5438,Loteprednol,129260-79-3,2937.90.90,NVE
Lovastatina,5444,Lovastatin,75330-75-5,2932.20.00,NVE
Loxapina  ,5447,Loxapine,1977-10-2,2934.99.99,NVE
Loxoprofeno,5450,Loxoprofen,68767-14-6,2918.30.90,NVE
Loxoprofeno Sódico,5451,Loxoprofen Sodium,80382-23-6,2918.30.90,NVE
Lufenurona,5459,Lufenuron,103055-07-8,2924.29.99,NVE
Lumefantrina,5462,Lumefantrine,82186-77-4,2922.19.99,NVE
Lumiracoxibe  ,9334,Lumiracoxib,220991-20-8,2934.99.99,NVE
Malato de Citrulina,2192,Citrulline Malate,54940-97-5,2924.19.99,NVE
Malato de Pizotifeno,7241,Pizotifen Malate,5189-11-7,2934.99.49,NVE
Maleato de Anlodipino,806,Amlodipine Maleate,88150-47-4,2933.39.99,NVE
Maleato de Bronfeniramina,1478,Brompheniramine Maleate,980-71-2,2933.39.19,NVE
Maleato de Carbinoxamina,1737,Carbinoxamine Maleate,3505-38-2,2933.39.29,NVE
Maleato de Cinepazete,2098,Cinepazet Maleate,50679-07-7,2933.59.19,NVE
Maleato de Cinepazida,2100,Cinepazide Maleate,26328-04-1,2933.59.19,NVE
Maleato de Clorfeniramina,2442,Chlorphenamine Maleate,113-92-8,2933.39.29,NVE
Maleato de Dexbronfeniramina,2833,Dexbrompheniramine Maleate,2391-03-9,2933.39.99,NVE
Maleato de Dexclorfeniramina,2839,Dexchlorpheniramine Maleate,2438-32-6,2933.39.99,NVE
Maleato de Dimetindeno,3070,Dimetindene Maleate,3614-69-5,2933.39.99,NVE
Maleato de Domperidona,3180,Domperidone Maleate,99497-03-7,2933.39.99,NVE
Maleato de Enalapril,3370,Enalapril Maleate,76095-16-4,2933.99.46,NVE
Maleato de Ergometrina  ,3483,Ergometrine Maleate,129-51-1,2939.61.00,NVE
Maleato de Feniramina,3948,Pheniramine Maleate,132-20-7,2933.39.99,NVE
Maleato de Flupirtina,4189,Flupirtine Maleate,75507-68-5,2933.39.89,NVE
Maleato de Fluvoxamina  ,4235,Fluvoxamine Maleate,61718-82-9,2928.00.90,NVE
Maleato de Levomepromazina  ,5265,Levomepromazine Maleate,7104-38-3,2934.30.10,NVE
Maleato de Lisurida  ,5358,Lisuride Maleate,19875-60-6,2921.30.90,NVE
Maleato de Mepiramina,5652,Mepyramine Maleate,59-33-6,2933.39.45,NVE
Maleato de Metilergometrina  ,5802,Methylergometrine Maleate,57432-61-8,2939.69.11,NVE
Maleato de Pimetixeno,7061,Pimethixene Maleate,13187-06-9,2934.99.99,NVE
Maleato de Rosiglitazona,7813,Rosiglitazone Maleate,155141-29-0,2934.10.90,NVE
Maleato de Timolol,8604,Timolol Hydrogen Maleate,26921-17-5,2934.99.92,NVE
Maleato de Trimebutina,8910,Trimebutine Maleate,34140-59-5,2922.19.99,NVE
Mandelato de Metenamina,5766,Methenamine Mandelate,587-23-5,2933.69.92,NVE
Manidipino,5490,Manidipine,89226-50-6,2933.59.99,NVE
Maprotilina  ,5498,Maprotiline,10262-69-8,2921.49.90,NVE
Maraviroque  ,9624,Maraviroc,376348-65-1,2924.29.99,NVE
Mebendazol,5515,Mebendazole,31431-39-7,2933.99.54,NVE
Mebeverina,5517,Mebeverine,3625-06-7,2922.50.99,NVE
Meclofenoxato  ,5536,Meclofenoxate,51-68-3,2922.50.99,NVE
Meclozina,5544,Meclozine,569-65-3,2933.59.99,NVE
Medazepam  ,5548,Medazepam,2898-12-6,2933.91.52,NVE
Medroxiprogesterona,5562,Medroxyprogesterone,520-85-4,2937.23.10,NVE
Mefenoxalona  ,5571,Mephenoxalone,70-07-5,2934.99.99,NVE
Mefexamida  ,5575,Mefexamide,1227-61-8,2924.29.49,NVE
Mefloquina,5576,Mefloquine,53230-10-7,2933.49.90,NVE
Megestrol,5581,Megestrol,3562-63-8,2937.23.99,NVE
Melfalana,5613,Melphalan,148-82-3,2922.49.90,NVE
Meloxicam,5619,Meloxicam,71125-38-7,2934.10.90,NVE
Memantina  ,5623,Memantine,19982-08-2,2921.30.90,NVE
Menadiona,5634,Menadione,58-27-5,2914.69.20,NVE
Mepartricina,5646,Mepartricin,11121-32-7,2941.90.59,NVE
Mepiramina,5650,Mepyramine,91-84-9,2933.39.49,NVE
Mequinol,5670,Mequinol,150-76-5,2909.50.90,NVE
Mequitazina,5671,Mequitazine,29216-28-2,2934.30.90,NVE
Merbromina,5676,Merbromin,129-16-8,2852.10.29,NVE
Mercaptamina,5678,Mercaptamine,60-23-1,2930.90.19,NVE
Mercaptopurina Anidra,5680,Mercaptopurine Anhydrous,50-44-2,2933.59.35,NVE
Meropeném Anidro,5688,Meropenem Anhydrous,96036-03-2,2941.90.99,NVE
Mesalazina,5692,Mesalazine,89-57-6,2922.50.99,NVE
Mesilato de Bromocriptina,1466,Bromocriptine Mesilate,22260-51-1,2939.69.90,NVE
Mesilato de Danofloxacino,2677,Danofloxacin Mesilate,119478-55-6,2933.59.19,NVE
Mesilato de Deferroxamina,2726,Deferoxamine Mesilate,138-14-7,2928.00.90,NVE
Mesilato de Delavirdina  ,2735,Delavirdine Mesilate,147221-93-0,2934.99.99,NVE
Mesilato de Di-Hidroercocristina,3019,Dihydroergocristine Mesilate,24730-10-7,2939.69.52,NVE
Mesilato de Di-Hidroergocornina,5694,Dihydroergocornine Mesilate,14271-04-6,2939.69.31,NVE
Mesilato de Di-Hidroergotamina,3021,Dihydroergotamine Mesilate,6190-39-2,2939.69.21,NVE
Mesilato de Dolasetrona,3175,Dolasetron Mesilate,115956-13-3,2933.99.19,NVE
Mesilato de Doxazosina,3210,Doxazosin Mesilate,77883-43-3,2934.99.39,NVE
Mesilato de Endralazina,3384,Endralazine Mesilate,65322-72-7,2933.99.99,NVE
Mesilato de Fentolamina,4017,Phentolamine Mesilate,65-28-1,2933.29.99,NVE
Mesilato de Imatinibe,4821,Imatinib Mesilate,220127-57-1,2933.59.19,NVE
Mesilato de Isoniazida,n.d.,Isoniazid Mesilate,13447-95-5,2933.39.99,NVE
Mesilato de Maprotilina  ,5500,Maprotiline Mesilate,58902-67-3,2921.49.90,NVE
Mesilato de Nelfinavir  ,6274,Nelfinavir Mesilate,159989-65-8,2933.49.90,NVE
Mesilato de Pefloxacino,6876,Pefloxacin Mesilate,149676-40-4,2933.59.19,NVE
Mesilato de Pentamidina,n.d.,Pentamidine Mesylate,6823-79-6,2925.29.90,NVE
